zonaa	zonab	zonac	zonad
0	0	0	9.4
0	0	0	9.4
0	0	0	9.4
0	0	0	9.4
0	0	0	9.4
0	0	0	9.4
0	0	0	9.4
0	0	0	9.4
0	0	0	9.4
0	0	0	6.3
0	0	0	6.3
0	0	0	6.3
0	0	0	6.3
0	0	0	6.3
0	0	0	6.3
0	0	0	6.3
0	0	0	6.3
0	0	0	6.3
0	0	0	6.3
0	0	0	6.3
0	0	0	6.3
0	0	0	6.3
0	0	0	6.3
0	0	0	6.3
0	0	0	6.3
0	0	0	6.3
0	0	0	6.3
0	0	0	6.3
0	0	0	6.3
0	0	0	6.3
0	0	0	6.3
0	0	0	6.3
0	0	0	6.3
0	0	0	6.3
0	0	0	6.3
0	0	0	6.3
